id,model_code,price,ارتفاع,سایر ویژگی‌ها,عمق,شناسه,پهنا,امکانات ویژه,سیستم ایمنی,تنظیمات دستگاه,تعداد سبد,ظرفیت (نفر),وزن,میزان صدا,نوع ماشین ظرفشویی,متوسط میزان مصرف آب در هر شست و شو,تعداد قفسه های بالا,تعداد برنامه های شست‌وشو,نمودار میزان مصرف انرژی,جایگاه نگهداری
1,BOSCH-DW-SMS8ZDI86,,۸۵ سانتی‌متر,گزینه های ویژه :HygienePlus - Pretreatment - Remote Start,۶۰ سانتی‌متر,۲۰۰۹۹۸۳۸۳۸۶۱۷,۶۰,شستشوی ظروف حساس,قفل کودک,دکمه های لمسی,سه عدد,۱۴,,,,,,,,
2,BOSCH-DW-SMS6HMW76Q,,۸۵ سانتی‌متر,۱h ۶۵°: شستشوی سریع ظروف در ۶۰ دقیقه ۶۵ درجه سانتی گراد Intensive ۷۰°: شستشوی ظروف بسیار کثیف ۷۰ درجه سانتی گراد Auto ۴۵°-۶۵°: شستشوی خودکار ۶۵-۴۵ درجه سانتیگراد Glas ۴۰°: شستشوی ظروف شیشه ای Eco ۵۰°: شستشوی اقتصادی ۵۰ درجه سانتیگراد Silence ۵۰°: شستشوی آرام یا شبانه ۵۰ درجه سانتیگراد Quick Wash ۴۵°: شستشوی سریع ۴۵ درجه سانتیگراد، درخشان ترین نتایج شستشو و خشک کردن ظروف Half Load Home Connect Function HygienePlus IntensiveZone Speed Perfect Plus,۶۰ سانتی‌متر,۲۰۰۹۹۸۳۸۳۸۶۱۷,۶۰,شست‌وشوی اقتصادی (Eco),سیستم قطع خودکار,دکمه های لمسی,سه عدد,۱۴,,,,,,,,
3,BOSCH-DW-SMS-6HMW76Q,,۸۵ سانتی‌متر,۱h ۶۵°: شستشوی سریع ظروف در ۶۰ دقیقه ۶۵ درجه سانتی گراد Intensive ۷۰°: شستشوی ظروف بسیار کثیف ۷۰ درجه سانتی گراد Auto ۴۵°-۶۵°: شستشوی خودکار ۶۵-۴۵ درجه سانتیگراد Glas ۴۰°: شستشوی ظروف شیشه ای Eco ۵۰°: شستشوی اقتصادی ۵۰ درجه سانتیگراد Silence ۵۰°: شستشوی آرام یا شبانه ۵۰ درجه سانتیگراد Quick Wash ۴۵°: شستشوی سریع ۴۵ درجه سانتیگراد، درخشان ترین نتایج شستشو و خشک کردن ظروف Half Load Home Connect Function HygienePlus IntensiveZone Speed Perfect Plus,۶۰ سانتی‌متر,۲۰۰۹۹۸۳۸۳۸۶۱۷,۶۰,شست‌وشوی اقتصادی (Eco),سیستم قطع خودکار,دکمه های لمسی,سه عدد,۱۴,,,,,,,,
4,CANDY-DW-CDM-1523,,۸۵ سانتی‌متر,-قابلیت شستشوی میوه وسبزی -قابلیت شستشوی ظروف نازک و حساس -دارای سه طبقه مجزا -دارای خشک کن -برنامه شدید شویی -قابلیت شستشوی ظروف بزرگ همچون دیس و قبلمه -دارای یک شیر ورودی آب -دارای دوبازوی آب پاش و یک آبفشان -قابلیت شستشوی اقتصادی -شستشوی ۹۰ دقیقه ای -قابلیت تاخیر در شستشو تا ۲۴ ساعت -قابلیت شستشو با نصف ظرفیت -شستشوی سریع,۶۰ سانتی‌متر,۲۹۰۰۹۴۹۰۱۴۳۵۰,۶۰,امکان شست‌وشوی میوه و سبزی,قفل کودک,,سه عدد,۱۵,۴۶۰۰۰ گرم,۴۷,مبله,۱۰,۲,۸,++A,قفسه بالا
5,CANDY-DW-CDPN-2D622OW,,۸۵۰ سانتی‌متر,- رده مصرف انرژی A++ - ظرفیت شستشو ۱۶ نفره - دارای برنامه آبکشی مجدد - آلارم پایان شست‌وشو - شست‌وشو با تاخیر، تا ۲۴ ساعت - نمایشگر لمسی هوشمند - ۳ سبد شستشو - ۱۰ برنامه شستشو - برنامه شستشوی اقتصادی و سریع - سیستم تاخیردر زمان شستشو - نشانگر میزان نمک Salt indicator - دارای شلنگ ورودی آب با قابلیت AQUA STOP (ضد نشت آب) - بسیار کم صدا - تکنولوژی روز ایتالیا,۶۰۰ سانتی‌متر,۲۹۰۰۹۴۹۰۰۲۲۸۹,۶۰۰,شروع با تأخیر,قفل کودک,دکمه های لمسی,دو عدد,۱۶,۵۹ گرم,۴۳,مبله,۱۰,۱,۱۰,++A,قفسه بالا
6,DAEWOO-DW-DDW-2560,,۸۵۰ سانتی‌متر,دارای قفل کودک,۶۰۰ سانتی‌متر,۲۹۰۰۲۴۸۳۰۱۱۵۱,۶۰۰,امکان شست‌وشوی میوه و سبزی,,,سه عدد,۱۵,,,مبله,,,۶,++A,
7,DAEWOO-DW-DDW-2562,,۸۵۰ سانتی‌متر,قابلیت شستشوی میوه,۶۰۰ سانتی‌متر,۲۹۰۰۲۴۸۳۰۱۱۶۸,۶۰۰,امکان شست‌وشوی میوه و سبزی,,,سه عدد,۱۵,,,مبله,,,۶,++A,
8,DAEWOO-DW- DDW-30W1252,,۸۴.۶ سانتی‌متر,سیستم عیب‌یاب هوشمند / دارای سبد مخصوص قاشق و چنگال / دارای صفحه نمایش LED / جاپودری کشویی / ۲ عدد بازوی آبپاش / مخزن شستشوی تمام استیل / قابلیت تنظیم ارتفاع سبد بالایی به صورت دستی / قابلیت راه اندازی دستگاه با تاخیر از ۱ تا ۱۲ ساعت / برنامه شستشوی سریع fast wash / دارای دو طبقه شستشو,۶۰ سانتی‌متر,۲۹۰۹۱۵۹۴۰۰۰۲۱,۶۰,,قفل کودک,,دو عدد,۱۲,۴۳۰۰۰ گرم,۴۹ دسی‌بل,مبله,۱۰ لیتر,,۵,A++,
9,DAEWOO-DW-DDW-3462,,۸۵ سانتی‌متر,موتور بدون تسمه - گريد انرژي A++ - برنامه های شستشو : Intensive : شستشوی ظروف بسیار کثیف که مدتی غذای خشک شده روی آن بوده است - Normal : شستشوی بشقابها، لیوانها و ... با کثیفی معمولی و کم - Eco : برنامه ای استاندارد برای ظروف با کثیفی متوسط (شستشوی بهینه با صرفه جویی در آب و انرژی) - Glass : شستشوی ظروف حساس شیشه ای و چینی با کثیفی کم که به دمای بالا حساس هستند. - ۹۰ Min : جهت شستشوی سریع ظروف با کثیفی کم و متوسط در ۹۰ دقیقه - Rapid : شستشو در ۳۰ دقیقه ظروف با کثیفی کم مثل کریستال و لیوانها که نیاز به خشک کردن ندارد. - شستشو با نصف ظرفیت - دارای سیستم Extra Cleaning جهت شستشوی ظرفهای بسیار کثیف - سیستم خشک کن اضافی ( Extra Drying ) - قابلیت Express برای کاهش زمان برنامه - قابلیت راه اندازی دستگاه با تاخیر از ۱ تا ۲۴ ساعت - دارای قفل ایمنی کودک - دارای صفحه نمایش LED جهت نمایش زمان و تنظیمات - سه طبقه شستشو - سه بازوی آبپاش - قابلیت تنظیم ارتفاع سبد بالایی بصورت دستی و با جابجایی سبد - سیستم هوشمند عیب یاب - مخزن شستشوی تمام استیل - قابلیت تغییر در جانمایی داخلی سبد پایین - دارای جاپودری کتابی - دارای نیم طبقه فنجان در سبد دوم - قابلیت انعطاف سبد سوم (سبد قاشق و چنگال) جهت چیدمان بهینه,۶۰ سانتی‌متر,۶۲۶۲۶۴۸۶۰۷۳۵۳,۶۰,,,,سه عدد,,,,,,,۸,A++,
10,EMERSUN-DW-ED14-MI3,,۸۵۰ سانتی‌متر,دارای برنامه شستشو میوه و سبزیجات دارای سبد سوم ویژه قاشق و چنگال سبد بالایی با قابلیت تنظیم ارتفاع شروع با تاخیر شستشو با قابلیت ظرفیت نصفه شستشوی سریع در یک ساعت مجهز به قفل کودک میزان مصرف آب سالیانه: ۲۸۰۰۰ لیتر,۶۰۰ سانتی‌متر,۲۹۰۱۱۸۸۷۰۱۷۴۲,۶۰۰,برنامه بخارشو,قفل کودک,دکمه های لمسی,سه عدد,۱۴,۸ گرم,۴۹,مبله,,,۸,++A,
