model_code,fridge_capacity,freezer_capacity,energy_rating,total_capacity_feet,number_of_fridge_shelves,number_of_freezer_shelves,number_of_fridge_door_shelves,number_of_freezer_door_shelves,number_of_fridge_drawers,number_of_freezer_drawers,weight,price,total_capacity_mapped,brand
DAEWOO-SBS-ARSXi30-20S,494 ,277 ,1.0,36,5,3,5,3,5 ,3,115.0,94400000.0,3.0,DAEWOO
DAEWOO-SBS-ARSXi30-30S,494 ,277 ,1.0,36,5,3,5,4,2 ,3,115.0,96000000.0,3.0,DAEWOO
DAEWOO-SBS-ARSXi30-30W,494 ,277 ,1.0,36 ,5 ,3 ,5 ,3 ,2 ,3 ,120.0,96000000.0,3.0,DAEWOO
DAEWOO-SBS-D5S-0036SS,494 ,277 ,1.0,36 ,4,3,5,3,2,3,118.26666666666667,81965197.27272727,3.0,DAEWOO
DAEWOO-SBS-DS-3020GW,394 ,194 ,1.0,28,4,3,5,3,2 ,2,120.0,67000000.0,2.0,DAEWOO
DAEWOO-SBS-DS-3020MW,440 ,244 ,1.0,29,4,3,5,3,2 ,3,120.0,65212103.7037037,2.0,DAEWOO
DAEWOO-SBS-DS-3020SS,394 ,197 ,1.0,28,4,3,5,3,2 ,2,120.0,67000000.0,2.0,DAEWOO
DAEWOO-SBS-DS-3320MW,440 ,244 ,1.0,32,4,3,5,3 ,2 ,3,150.0,75000000.0,2.0,DAEWOO
DAEWOO-SBS-DS-3320SS,494 ,277 ,1.0,32,4,3,3,2,2 ,3,150.0,75000000.0,3.0,DAEWOO
DAEWOO-SBS-DS-3325GW,440  ,220  ,1.0,32,5 ,3 ,5 ,3 ,2 ,3 ,120.0,65212103.7037037,2.0,DAEWOO
DAEWOO-SBS-DS-3325MW,244 ,440 ,1.0,32,5,4,5,3,2 ,2,118.26666666666667,81965197.27272727,3.0,DAEWOO
DAEWOO-SBS-DS-3325SS,440 ,190  ,1.0,32,5,3,5,3,2 ,3,111.44444444444444,65212103.7037037,2.0,DAEWOO
DAEWOO-SBS-DS-3330MW,440 ,240 ,1.0,32,5,3,5,3,2 ,3,115.0,71500000.0,2.0,DAEWOO
DAEWOO-SBS-DS-3330SS,440  ,190  ,1.0,33,5,3,6,3,2 ,3,115.0,71500000.0,2.0,DAEWOO
DAEWOO-SBS-DS-3440MW,440 ,244 ,1.0,32,4,3,5,3,2 ,3,120.0,81965197.27272727,3.0,DAEWOO
DAEWOO-SBS-DS-3440SS,440  ,190  ,1.0,32,5,3,5,3,2 ,3,120.0,94300000.0,2.0,DAEWOO
DAEWOO-SBS-DS-3640MW,494 ,277 ,1.0,35,4,3,5,3,2 ,3,120.0,98000000.0,3.0,DAEWOO
DAEWOO-SBS-DS-3640SS,494 ,277 ,1.0,35,4,3,5,3,2 ,3,120.0,81965197.27272727,3.0,DAEWOO
DAEWOO-SBS-DS-3730MW,500 ,277 ,1.0,35,5,3,6,3,2 ,3,120.0,86995000.0,3.0,DAEWOO
DAEWOO-SBS-DS-3730SS,500 ,277 ,1.0,37,5,3,5,3,2 ,3,120.0,86995000.0,3.0,DAEWOO
DAEWOO-SBS-DSI-3440MW,440 ,244 ,1.0,32,4,3,5,3,2 ,3,120.0,94300000.0,3.0,DAEWOO
DAEWOO-SBS-DSI-3645MW,494 ,277 ,1.0,32,5 ,4,5 ,3 ,2 ,3 ,115.0,99500000.0,3.0,DAEWOO
DAEWOO-SBS-DSI-3645SS,494 ,277 ,1.0,32,5 ,4,5 ,3 ,2 ,3 ,115.0,99500000.0,3.0,DAEWOO
DAEWOO-SBS-SX20-21W,440 ,244 ,1.0,32 ,5 ,3 ,6 ,3 ,2 ,3 ,115.0,82500000.0,2.0,DAEWOO
DAEWOO-SBS-SXI15-21GW,440 ,240 ,1.0,32,4,2,5,3,2 ,3,110.0,65212103.7037037,2.0,DAEWOO
DAEWOO-SBS-SXI20-11S,370 ,150 ,1.0,28 ,4 ,2 ,6 ,3 ,2 ,3 ,100.0,73100000.0,1.0,DAEWOO
DAEWOO-SBS-SXI20-11W,370 ,150 ,1.0,28 ,4 ,2 ,6 ,3 ,2 ,3 ,100.0,73100000.0,1.0,DAEWOO
DAEWOO-SBS-SXI30-20S,440 ,190 ,1.0,32 ,5 ,3 ,5 ,3 ,2 ,3 ,110.0,94400000.0,2.0,DAEWOO
DAEWOO-SBS-SXI30-20W,440 ,190 ,1.0,32 ,5 ,3 ,5 ,3 ,2 ,3 ,110.0,94400000.0,2.0,DAEWOO
DAEWOO-SBS-SXI30-30S,494 ,277 ,1.0,36 ,5 ,3 ,5 ,3 ,2 ,3 ,120.0,96000000.0,3.0,DAEWOO
DAEWOO-SBS-SXi15-21W,440 ,190 ,1.0,32,5 ,3 ,5 ,3 ,2 ,3 ,111.44444444444444,82700000.0,2.0,DAEWOO
DAEWOO-SBS-SXi20-21W,440 ,244 ,1.0,32 ,5 ,3 ,6 ,3 ,2 ,3 ,115.0,82500000.0,2.0,DAEWOO
DAEWOO-SBS-SXi20-31S,491 ,228 ,1.0,36 ,5 ,3 ,5 ,3 ,2 ,3 ,120.0,87000000.0,3.0,DAEWOO
