model_code,price,tank_type,motor_speed,drum_capacity,door_opening_direction,height,depth,width,motor_type,energy_label,safety_system,brand
ABSAL-WM-REN7012,16451500.0,Front Load,1200.0,7.0,left,85.0,55.0,59.0,Unknown,3.0,1.0,ABSAL
ABSAL-WM-REN7112,16451500.0,Front Load,1200.0,7.0,left,85.0,55.0,59.0,Universal,1.0,0.0,ABSAL
ABSAL-WM-WRE-7412,15610000.0,Front Load,1200.0,7.0,left,85.0,55.0,59.0,Universal,3.0,1.0,ABSAL
ABSAL-WM-WRE6310,16451500.0,Front Load,1000.0,6.0,left,85.0,55.0,59.0,Belt Drive,0.0,1.0,ABSAL
ABSAL-WM-WRE7212,16598000.0,Front Load,1200.0,7.0,left,85.0,55.0,59.0,Belt Drive,3.0,1.0,ABSAL
ABSAL-WM-WRE7212-W,16598000.0,Front Load,1200.0,7.0,left,85.0,55.0,59.0,Belt Drive,3.0,1.0,ABSAL
ABSAL-WM-WRE7312,17000000.0,Front Load,1200.0,7.0,left,85.0,55.0,59.0,Belt Drive,3.0,1.0,ABSAL
BEKO-WM-WTV8736XS,29800000.0,Stainless Steel,1400.0,8.0,left,84.0,59.0,60.0,Beltless,3.0,1.0,BEKO
BLANTON-WM-WM8403,28500000.0,Honeycomb Drum (Water Magic Cube),1400.0,8.0,left,85.0,60.0,59.5,Semi-Gearbox,3.0,1.0,BLANTON
BLANTON-WM-WM9403,26960000.0,Unknown,1400.0,9.0,left,85.0,60.0,59.5,BLDC Inverter,3.0,1.0,BLANTON
BOSCH-WM-WAJ20170GC,31500000.0,Unknown,1000.0,7.0,left,84.8,59.0,59.8,BLDC,3.0,1.0,BOSCH
BOSCH-WM-WAJ2017SGC,31000000.0,Stainless Steel,1000.0,7.0,left,84.8,59.0,59.8,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WAJ20180GC,33200000.0,Front Load,1000.0,8.0,left,84.8,59.0,59.8,Unknown,3.0,1.0,BOSCH
BOSCH-WM-WAT24461IR,37000000.0,Front Load,1200.0,9.0,left,84.8,59.0,59.8,BLDC,3.0,1.0,BOSCH
BOSCH-WM-WAT28682ME,50442404.166666664,Unknown,1400.0,9.0,left,84.0,59.0,59.0,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WAT28780IR,43000000.0,Stainless Steel,1400.0,9.0,left,84.8,59.0,59.8,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WAV28K90ME,50500000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WAV28M80ME,45000000.0,Stainless Steel,1400.0,9.0,left,84.5,59.0,60.0,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WAW2876XIR,60000000.0,Stainless Steel,1400.0,9.0,left,84.7,59.1,59.7,BLDC,3.0,1.0,BOSCH
BOSCH-WM-WAW32560GC,59000000.0,Stainless Steel,1600.0,9.0,left,84.8,59.0,59.8,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WAW3256XGC,61777700.0,Stainless Steel,1600.0,9.0,left,84.8,59.0,59.8,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WAW32760ME,58000000.0,Stainless Steel,1600.0,9.0,left,84.7,59.1,59.7,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WAX32E90,63000000.0,Stainless Steel,1600.0,10.0,left,84.8,59.0,59.8,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WAX32MXO,56000000.0,Stainless Steel,1600.0,10.0,left,84.8,59.0,59.8,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WAY32841IR,67000000.0,Unknown,1600.0,9.0,left,84.7,59.1,59.7,Beltless,3.0,1.0,BOSCH
BOSCH-WM-WBG244AOGC,65500000.0,Unknown,1400.0,9.0,left,84.7,59.1,59.7,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WBG244AXGC,65500000.0,Unknown,1400.0,9.0,left,84.7,59.1,59.7,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WGA142X0GC,34340000.0,Unknown,1600.0,9.0,left,84.0,59.0,59.0,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WGA242X0ME,31300000.0,Front Load,1200.0,9.0,left,84.8,59.0,59.8,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WGA24400ME,42500000.0,Stainless Steel,1400.0,9.0,left,84.7,59.1,59.7,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WGA2440XME,42500000.0,Stainless Steel,1400.0,9.0,left,84.7,59.1,59.7,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WGB2560,71500000.0,Stainless Steel,1600.0,10.0,left,84.7,59.1,59.7,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WGB256A90,73000000.0,Stainless Steel,1600.0,10.0,left,84.7,59.1,59.7,EcoSilence Drive,3.0,1.0,BOSCH
BOSCH-WM-WGG244M90,49500000.0,Stainless Steel,1400.0,9.0,left,84.8,59.0,59.8,EcoSilence Drive,3.0,1.0,BOSCH
BOST-WM-BW-702-10,16900000.0,Front Load,1000.0,7.0,left,81.9,54.5,59.7,Universal,3.0,1.0,BOST
BOST-WM-BWD-7120,15900000.0,Front Load,1000.0,7.0,left,82.5,55.0,59.5,Belt Drive,3.0,1.0,BOST
BOST-WM-BWD-7121,17270481.818181816,Front Load,1000.0,7.0,left,82.0,55.0,59.0,Belt Drive,3.0,1.0,BOST
BOST-WM-BWD-7131,16500000.0,Front Load,1000.0,7.0,left,82.5,55.0,59.5,Belt Drive,1.0,1.0,BOST
BOST-WM-BWD-7133,15800000.0,Unknown,1000.0,7.0,left,84.0,59.0,58.0,Universal,3.0,1.0,BOST
BOST-WM-BWD-7150N,15500000.0,Front Load,1000.0,7.0,left,82.5,59.5,59.5,Universal,3.0,1.0,BOST
BOST-WM-BWD-7151N,16300000.0,Front Load,1000.0,7.0,left,87.5,62.0,65.0,Universal,3.0,1.0,BOST
BOST-WM-BWD-7152N,16950000.0,Front Load,1000.0,7.0,left,82.5,55.0,59.5,Universal,3.0,0.0,BOST
BOST-WM-BWD-7171N,19975300.0,Front Load,1000.0,7.0,right,82.5,55.0,59.5,Belt Drive,1.0,1.0,BOST
BOST-WM-BWD-7173N,17270481.818181816,Front Load,1400.0,7.0,left,84.0,58.0,59.0,Universal,3.0,1.0,BOST
BOST-WM-BWD-8114,17270481.818181816,Front Load,1000.0,8.0,left,79.3,50.0,59.5,Belt Drive,3.0,1.0,BOST
BOST-WM-BWD-8115,17270481.818181816,Front Load,1000.0,8.0,left,79.3,50.0,59.5,Universal,3.0,1.0,BOST
BOST-WM-BWD-8227,18900000.0,Front Load,1200.0,8.0,left,79.0,50.0,59.0,Belt Drive,3.0,1.0,BOST
BOST-WM-BWD-8236,18900000.0,Front Load,1200.0,8.0,left,79.3,50.0,59.5,Universal,3.0,1.0,BOST
BOST-WM-BWD-8237,18350000.0,Front Load,1200.0,8.0,left,79.3,50.0,59.5,Belt Drive,3.0,1.0,BOST
CANDY-WM-GBT-1459W,22400000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,Belt Drive,3.0,1.0,CANDY
CANDY-WM-PFC-846S,22500000.0,Diamond Drum,1400.0,8.0,left,85.0,60.0,54.0,Belt Drive,3.0,1.0,CANDY
CANDY-WM-PFC-846W,22500000.0,Diamond Drum,1400.0,8.0,left,85.0,60.0,54.0,Belt Drive,3.0,1.0,CANDY
CANDY-WM-PFC-944S,21500000.0,Front Load,1400.0,9.0,left,85.0,54.0,60.0,Inverter,3.0,1.0,CANDY
CANDY-WM-PFC-944W,21500000.0,Front Load,1400.0,9.0,left,85.0,54.0,60.0,Inverter,3.0,1.0,CANDY
CANDY-WM-PFC-946S,22500000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC Belt Drive,2.0,1.0,CANDY
CANDY-WM-PFC-946W,22500000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC Belt Drive,2.0,1.0,CANDY
