id,model_code,محدوده گنجایش کل به لیتر,شناسه کالا,گنجایش کل به فوت,تعداد کشو,گنجایش کل به لیتر,تعداد کشوی فریزر,وزن,نوع مقاومت در برابر برفک,گنجایش یخچال,تعداد طبقات یخچال,تعداد طبقات فریزر,تعداد طبقات درب فریزر,گنجایش فریزر,نمودار مصرف انرژی,تعداد طبقات درب یخچال
1,DAEWOO-SBS-DS-3020MW,۵۵۱ تا ۷۰۰,۲۹۰۰۱۷۶۵۰۵۳۲۴,۲۹,۲ عدد,۶۸۴,۳,۱۲۰ کیلوگرم,نوفراست,۴۴۰ لیتر,۴,۳,۳,۲۴۴ لیتر,A+,۵
2,DAEWOO-SBS-DS-3320MW,۵۵۱ تا ۷۰۰,۲۹۰۰۱۷۶۵۰۵۳۲۴,۳۲,۲ عدد,۶۸۴,۳,۱۵۰ کیلوگرم,نوفراست,۴۴۰ لیتر,۴,۳,,۲۴۴ لیتر,A+,۵
3,DAEWOO-SBS-DS-3325GW,۵۵۱ تا ۷۰۰,۲۹۰۰۱۷۶۵۰۵۳۴۸,۳۲,۲ عدد,۶۶۰,۳ عدد,۱۲۰ کیلوگرم,نوفراست,۴۴۰ لیتر لیتر,۵ عدد,۳ عدد,۳ عدد,۲۲۰ لیتر لیتر,A+,۵ عدد
4,DAEWOO-SBS-DS-3320SS,بیش از ۷۰۰ لیتر,۲۹۰۰۱۷۶۵۰۵۳۳۱,۳۲,۲ عدد,,۳,۱۵۰ کیلوگرم,نوفراست,لیتر,۴,۳,۲,لیتر,A+,۳
5,DAEWOO-SBS-ARSXi30-20S,بیش از ۷۰۰ لیتر,۴۲۳۶۲CRSDWH۱۰۹,۳۶,۵ عدد,۷۷۱,۳,۱۱۵ کیلوگرم,نوفراست,۴۹۴ لیتر,۵,۳,۳,۲۷۷ لیتر,A+,۵
6,DAEWOO-SBS-DS-3640SS,بیش از ۷۰۰ لیتر,۲۹۰۰۱۷۶۵۰۵۴۴۷,۳۵,۲ عدد,۹۹۱,۳,۱۲۰ کیلوگرم,نوفراست,۴۹۴ لیتر,۴,۳,۳,۲۷۷ لیتر,A+,۵
7,DAEWOO-SBS-DS-3440MW,بیش از ۷۰۰ لیتر,۲۹۰۰۱۷۶۵۰۵۴۰۹,۳۲,۲ عدد,۹۰۶,۳,۱۲۰ کیلوگرم,نوفراست,۴۴۰ لیتر,۴,۳,۳,۲۴۴ لیتر,A+,۵
8,DAEWOO-SBS-DSI-3440MW,بیش از ۷۰۰ لیتر,۲۹۰۰۱۷۶۵۰۵۴۰۹,۳۲,۲ عدد,۹۰۶,۳,۱۲۰ کیلوگرم,نوفراست,۴۴۰ لیتر,۴,۳,۳,۲۴۴ لیتر,A+,۵
9,DAEWOO-SBS-SXI15-21GW,۵۵۱ تا ۷۰۰,۲۹۰۰۱۷۶۵۱۰۲۴۳,۳۲,۲ عدد,۶۸۰,۳,۱۱۰ کیلوگرم,نوفراست,۴۴۰ لیتر,۴,۲,۳,۲۴۰ لیتر,A+,۵
10,DAEWOO-SBS-DS-3020SS,۵۵۱ تا ۷۰۰,۲۹۰۰۱۷۶۵۰۵۳۱۷,۲۸,۲ عدد,۵۹۱,۲,۱۲۰ کیلوگرم,نوفراست,۳۹۴ لیتر,۴,۳,۳,۱۹۷ لیتر,A+,۵
