id ,model_code                  ,price        ,نمودار مصرف انرژی ,وزن         ,گنجایش کل به لیتر ,گنجایش کل به فوت ,محدوده گنجایش کل به لیتر ,نوع مقاومت در برابر برفک ,شناسه کالا     ,گنجایش یخچال  ,تعداد طبقات یخچال ,تعداد طبقات درب یخچال ,تعداد کشو ,گنجایش فریزر  ,تعداد طبقات فریزر ,تعداد طبقات درب فریزر ,تعداد کشوی فریزر ,امکانات یخچال       ,جهت باز شدن درب یخچال ,جهت باز شدن درب فریزر ,میزان صدا     ,لزوم اتصال به شیر آب ,امکانات فریزر                 ,سایر ویژگی‌های فریزر                                                                                                                                                                                                                                                                                                                      ,ارتفاع یخچال-فریزر ,عمق یخچال-فریزر ,پهنای یخچال-فریزر ,سایر ویژگی‌ها                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,سایر ویژگی‌های یخچال                                                                                                                                                                                                                                                                                                                      ,نوع یخچال و فریزر ,ارتفاع          ,عمق            ,پهنا
 1 ,DAEWOO-SBS-DS-3020MW        ,             ,A+                ,۱۲۰ کیلوگرم ,۶۸۴               ,۲۹               ,۵۵۱ تا ۷۰۰               ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۳۲۴  ,۴۴۰ لیتر      ,۴                 ,۵                     ,۲ عدد     ,۲۴۴ لیتر      ,۳                 ,۳                     ,۳                ,                    ,                      ,                      ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
 2 ,DAEWOO-SBS-DS-3320MW        ,             ,A+                ,۱۵۰ کیلوگرم ,۶۸۴               ,۳۲               ,۵۵۱ تا ۷۰۰               ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۳۲۴  ,۴۴۰ لیتر      ,۴                 ,۵                     ,۲ عدد     ,۲۴۴ لیتر      ,۳                 ,                      ,۳                ,نمایشگر             ,به سمت راست           ,به سمت چپ             ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
 3 ,DAEWOO-SBS-DS-3325GW        ,             ,A+                ,۱۲۰ کیلوگرم ,۶۶۰               ,۳۲               ,۵۵۱ تا ۷۰۰               ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۳۴۸  ,۴۴۰ لیتر لیتر ,۵ عدد             ,۵ عدد                 ,۲ عدد     ,۲۲۰ لیتر لیتر ,۳ عدد             ,۳ عدد                 ,۳ عدد            ,آبسردکن             ,                      ,                      ,۳۸ دسی بل     ,بله                  ,بدون برفک                     ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
 4 ,DAEWOO-SBS-DS-3320SS        ,             ,A+                ,۱۵۰ کیلوگرم ,                  ,۳۲               ,بیش از ۷۰۰ لیتر          ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۳۳۱  ,لیتر          ,۴                 ,۳                     ,۲ عدد     ,لیتر          ,۳                 ,۲                     ,۳                ,نمایشگر             ,                      ,                      ,              ,دارد                 ,یخساز نیمه اتوماتیک (منبع آب) ,سيستم انجماد سريع فريزر سیستم سرد کننده سریع دارای فیلتر تصفیه آب سامانه بار خانگی با تکنولوژی جدید سرمایش یکنواخت لامپ های LED                                                                                                                                                                                                          ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
 5 ,DAEWOO-SBS-ARSXi30-20S      ,             ,A+                ,۱۱۵ کیلوگرم ,۷۷۱               ,۳۶               ,بیش از ۷۰۰ لیتر          ,نوفراست                  ,۴۲۳۶۲CRSDWH۱۰۹ ,۴۹۴ لیتر      ,۵                 ,۵                     ,۵ عدد     ,۲۷۷ لیتر      ,۳                 ,۳                     ,۳                ,آبسردکن             ,راست                  ,چپ                    ,              ,بله                  ,یخساز اتوماتیک (آب شهری)      ,"باکتري زدايی, بوزدايی, تصفيه هوا, تکنولوژی ديجيتال, درِ سوم همراه با سامانه سرمايش فلزی, روشنايي درخشان با LED, سامانه آرام بند درها, سامانه خودکار بسته شدن دَرها, سطوح کاملا مسطح, طبقات شيشه‌اي بدون فريم, فضاي بيشتر داخل فريزر, کاهش صداهای مزاحم, محفظه نگهداری حرفه‌ای گوشت تازه, مديريت هوشمند انرژی, نمايشگرLED با کنترل لمسی"     ,۱۸۱.۶ سانتی‌متر     ,۹۲ سانتی‌متر     ,۹۱.۶ سانتی‌متر     ,"باکتري زدايی, بوزدايی, تصفيه هوا, تکنولوژی ديجيتال, درِ سوم همراه با سامانه سرمايش فلزی, روشنايي درخشان با LED, سامانه آرام بند درها, سامانه خودکار بسته شدن دَرها, سطوح کاملا مسطح, طبقات شيشه‌اي بدون فريم, فضاي بيشتر داخل فريزر, کاهش صداهای مزاحم, محفظه نگهداری حرفه‌ای گوشت تازه, مديريت هوشمند انرژی, نمايشگرLED با کنترل لمسی"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,"باکتري زدايی, بوزدايی, تصفيه هوا, تکنولوژی ديجيتال, درِ سوم همراه با سامانه سرمايش فلزی, روشنايي درخشان با LED, سامانه آرام بند درها, سامانه خودکار بسته شدن دَرها, سطوح کاملا مسطح, طبقات شيشه‌اي بدون فريم, فضاي بيشتر داخل فريزر, کاهش صداهای مزاحم, محفظه نگهداری حرفه‌ای گوشت تازه, مديريت هوشمند انرژی, نمايشگرLED با کنترل لمسی"     ,                  ,                ,               ,
 6 ,DAEWOO-SBS-DS-3640SS        ,             ,A+                ,۱۲۰ کیلوگرم ,۹۹۱               ,۳۵               ,بیش از ۷۰۰ لیتر          ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۴۴۷  ,۴۹۴ لیتر      ,۴                 ,۵                     ,۲ عدد     ,۲۷۷ لیتر      ,۳                 ,۳                     ,۳                ,                    ,                      ,                      ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
 7 ,DAEWOO-SBS-DS-3440MW        ,             ,A+                ,۱۲۰ کیلوگرم ,۹۰۶               ,۳۲               ,بیش از ۷۰۰ لیتر          ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۴۰۹  ,۴۴۰ لیتر      ,۴                 ,۵                     ,۲ عدد     ,۲۴۴ لیتر      ,۳                 ,۳                     ,۳                ,                    ,                      ,                      ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
 8 ,DAEWOO-SBS-DSI-3440MW       ,             ,A+                ,۱۲۰ کیلوگرم ,۹۰۶               ,۳۲               ,بیش از ۷۰۰ لیتر          ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۴۰۹  ,۴۴۰ لیتر      ,۴                 ,۵                     ,۲ عدد     ,۲۴۴ لیتر      ,۳                 ,۳                     ,۳                ,                    ,                      ,                      ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
11 ,DAEWOO-SBS-SXI15-21GW       ,             ,A+                ,۱۱۰ کیلوگرم ,۶۸۰               ,۳۲               ,۵۵۱ تا ۷۰۰               ,نوفراست                  ,۲۹۰۰۱۷۶۵۱۰۲۴۳  ,۴۴۰ لیتر      ,۴                 ,۵                     ,۲ عدد     ,۲۴۰ لیتر      ,۲                 ,۳                     ,۳                ,بدون برفک           ,به راست               ,به چپ                 ,              ,                     ,بدون برفک                     ,                                                                                                                                                                                                                                                                                                                                         ,۱۸۱ سانتی‌متر       ,۸۴ سانتی‌متر     ,۹۱ سانتی‌متر       ,Metal Ice Cooling سامانه/ اعلام زمان پایان تاریخ مصرف موادغذایی در SMARTBOOM/ امکان دریافت هشدار در خصوص سرویس‌های دوره‌ای یخچال فریزر روی گوشی موبایل/ بار خانگی/ بهبود بردهای الکترونیکی نمایشگر و کمپرسور/ بهینه سازی ساختار مواد/ پشتیبانی آنلاین انتخاب سرویس از طریق اپلیکیشن اسمارت بوم/ تنظیم دما و حالت عملکرد یخچال با گوشی موبایل/ سامانه Blue Fresh LED/ سامانه خودکار بسته شدن درب ها/ سامانه روشنایی LED/ سامانه مدیریت هوشمند Smart Management/ سیستم سرمایش سه بعدی ۳D Cooling/ سیستم سرمایش هوشمند Digital Cooling/ سیستم سرمایش و انجماد سریع/ سیستم فیلترینگ هوای Fresh Max Plus/ طبقات شیشه ای بدون قاب/ فیلتر تصفیه هوا (نانوکربن)/ فیلتر جاذب اتیلن/ مجهز به Magic Cool Zone/ یخساز اتوماتیک فوق باریک روی در/                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                         ,ساید بای ساید     ,                ,               ,
12 ,DAEWOO-SBS-DS-3020SS        ,             ,A+                ,۱۲۰ کیلوگرم ,۵۹۱               ,۲۸               ,۵۵۱ تا ۷۰۰               ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۳۱۷  ,۳۹۴ لیتر      ,۴                 ,۵                     ,۲ عدد     ,۱۹۷ لیتر      ,۳                 ,۳                     ,۲                ,                    ,                      ,                      ,              ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
15 ,DAEWOO-SBS-DS-3330SS        ,             ,A+                ,۱۱۵ کیلوگرم ,۶۳۰               ,۳۳               ,۵۵۱ تا ۷۰۰               ,نوفراست                  ,۲۹۰۰۱۷۶۵۰۵۳۸۶  ,۴۴۰ لیتر لیتر ,۵                 ,۶                     ,۲ عدد     ,۱۹۰ لیتر لیتر ,۳                 ,۳                     ,۳                ,آبسردکن             ,به سمت راست           ,به سمت چپ             ,۲۹۰۰۱۷۶۵۰۰۵۹۶ ,                     ,                              ,                                                                                                                                                                                                                                                                                                                                         ,                   ,                ,                  ,- سامانه سرمای فلزی Metal Cooling - سامانه حفظ تازگی و ماندگاری میوه و سبزیجات Blue Fresh LED - بار خانگی - فیلتر هوای سه لایه Fresh Max Plus - فیلتر تصفیه آب - قابلیت اتصال به آب شهر - حالت کاهش مصرف انرژی هوشمند - سامانه کنترل سرمایش الکترونیک - سامانه گردش هوای چندگانه - زنگ هشدار باز بودن درب - حالت خواب - سیستم کاهش صدا در شب - سیستم کنترل هوشمند                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                         ,                  ,                ,               ,
