id ,model_code                  ,price ,نوع یخچال فریزر                                        ,مصرف انرژی ,ظرفیت یخچال(به فوت) ,ظرفیت فریزر(به فوت) ,ارتفاع(به سانتی متر) ,عمق(به سانتی متر) ,پهنا(عرض-به سانتی متر) ,وزن کل(به کیلو گرم) ,تعداد طبقات یخچال ,تعداد طبقات درب یخچال ,تعداد طبقات درب فریزر ,تعداد کشو یخچال ,بدون برفک ,سیستم گردش هوای چند بعدی ,اخطار صوتی باز ماندن درب ,لامپ یخچال ,سیستم سرمایش سریع یخچال ,سیستم انجماد سریع فریزر ,محفظه بار خانگی                                        ,یخساز و آبسرد کن خودکار ,نوع دستگیره    ,نوع کمپرسور             ,صفحه نمایش                ,تعداد طبقات فریزر ,ظرفیت کل(به فوت) ,ظرفیت کل(به لیتر) ,تعداد کشو فریزر ,جهت باز شدن درب یخچال ,فیلتر تصفیه آب ,یخساز فوق باریک ,میزان صدای مزاحم      ,طبقات شیشه ای بدون قاب ,محفظه نگه داری میوه ها و سبزیجات ,ساخت  ,نوع مقاومت در برابر برفک ,نوار پلاستیکی در درب          ,سیستم بسته شدن خودکار درب ها ,حالت ذخیره انرزی هوشمند (ECO) ,فناوری کاهش مصرف انرژی ,سامانه کنترل سرمایش الکترونیک ,سامانه سرمایش دوگانه ,سامانه مدیریت مصرف هنگام سفر ,حالت خواب ,سیستم کنترل هوشمند ,فیلتر هوای داخلی                  ,محفظه نگه داری حرفه ای گوشت ,فیلتر جاذب اتیلن Fresh Max Filter ,تصفیه هوا نانو کربن ,سیستم مدیریت هوشمند Smart Management ,نوع یخچال     ,برند کالا ,رنگ                         ,نمودار مصرف انرژی ,آبسردکن  ,اخطار باز ماندن درب ,سامانه خودکار بسته شدن دربها ,بار خانگی ,یخساز                     ,نوع یخساز                ,سرمایش سریع ,لزوم اتصال به شیر آب ,گنجایش یخچال ,گنجایش فریزر ,گنجایش کل ,ارتفاع          ,عمق          ,پهنا           ,ارتفاع بسته بندی ,عرض بسته بندی ,عمق بسته بندی ,جهت باز شدن درب فریزر   ,اقلام همراه   ,سایر ویژگی ها                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,گنجایش یخچال (به لیتر) ,گنجایش فریزر (به لیتر) ,حسگر هوشمند تشخیص دما   ,بارخانگی جدید با تکنولوژِی Metal cooling  ,قفل صفحه نمایش ,سرمایش فلزی                 ,آب سردکن                 ,سری             ,گنجایش کل(به لیتر) ,روشنایی فریزر ,سیستم سرمایش دوگانه(Dual Cooling System) ,وزن         ,صفحه نمایش لمسی ,میزان صدا ,پنل نمایشگر ,نوع صفحه نمایش ,یخچال بدون برفک ,هشدار باز ماندن درب ,محفظه بار ,دارای کشو با تنظیم دما و رطوبت ,سیستم انجماد سریع ,فریزر بدون برفک ,یخساز اتوماتیک ,تعداد طبقات داخل فریزر ,سایر ویژگی های محصول                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,اطلاعات نوع یخچال                ,گنجایش کل به لیتر ,گنجایش کل به فوت ,سامانه بار خانگی (هوم بار)                        ,سامانه انجماد سریع ,رتبه مصرف انرژی ,محفظه ی تازه نگهدارنده میوه و سبزیجات ,محفظه ی اختصاصی گوشت و مرغ ,میزان صدا یخچال ,قفل کودک ,سایر مشخصات                                                                                                                                                                                                                                                                                                                                                                                            ,برند        ,خدمات پس از فروش ,درب سوم                              ,گرید ,قابلیت هوشمندی یخچال ,امکان تنظیم دما و حالت عملکرد دستگاه از طریق اینترنت ,وارد کردن تاریخ مصرف مواد غذایی و دریافت هشدار در زمان پایان ,امکان دریافت هشدار روی موبایل برای سرویس های دوره ای ,غیر فعال کردن یخساز ,سیستم کاهش صدا در شب ,نوع یخساز و آبسردکن       ,سامانه حفظ تازگی میوه و سبزیجات با نور آبی ,ابعاد                 ,رتبه انرژی ,نوع برفک زدایی      ,سایر ویژگی‌ها                                                                                                                                                                                                                                                                                                                                                                               ,نمایشگر ,نوع دستگیره در ,انجماد سریع ,جریان هوا                ,آبریز دستی ,یخ ساز خودکار ,تعداد طبقات ,سایر ویژگیهای یخچال                 ,سایر ویژگیهای فریزر              ,عمق با درب   ,وزن(گرم) ,آبریز ,یخساز نیمه اتوماتیک (منبع آب) ,گنجايش خالص به ليتر ,مدل      ,مدل کامل                 ,تولید کننده ,کشور سازنده ,کشور مونتاژ ,سال عرضه میلادی ,نوع موتور                          ,نوع گاز (مبرد) ,ظرفیت گاز (گرم) ,ظرفیت کل یخچال فریزر ,ظرفیت کل یخچال (لیتر) ,ظرفیت کل فریزر (لیتر) ,ظرفیت کل یخچال فریزر (لیتر) ,ظرفیت واقعی یخچال (لیتر) ,ظرفیت واقعی فریزر (لیتر) ,ظرفیت واقعی یخچال فریزر (لیتر) ,حداکثر سطح صدا هنگام کار (دسی بل) ,نوع سیستم یخ ساز  ,نوع یخ تولیدی       ,نوع صفحه نمایش یخچال فریزر ,ابعاد با درب و دستگیره (میلیمتر) ,ابعاد بدون درب و دستگیره (میلیمتر) ,ابعاد بسته بندی (میلیمتر) ,وزن خالص (کیلوگرم) ,وزن بسته بندی (کیلوگرم) ,رنگ بدنه    ,جنس بدنه ,تعداد کشوی یخچال ,تعداد کشوی فریزر ,عرض          ,جهت باز شدن درب  ,تعداد کشو ,یخساز اتوماتیک (آب شهری) ,گنجایش به فوت ,یخچال دارای کشو با تنظیم دما و رطوبت ,دستگیره درب ,گنجایش فریز ,نمایشگر دیجیتال ,تصفیه آب ,رده انرژی ,اندازه (فوت) ,قابلیت اتصال به اینترنت ,آبسردکن اتومات ,یخساز اتومات ,دستگیره ,اصالت کالا ,سری محصول ,نوار درزگیر                   ,نوع دستگیره‌ی در  ,نوع صفحه نمايش        ,سامانه خودکار بسته شدن درها ,اتصال به اینترنت ,رابط کاربری ,حالت کاهش مصرف انرژی هوشمند ,سامانه مدیریت سرمایش ,حسگر هوشمند تشخیص دمای بیرونی ,سرمایش دوگانه ,هشدار باز بودن در ,آب سرد کن ,نوع آب سرد کن  ,روشنایی یخچال ,فیلتر تصفیه هوای داخلی ,فیلتر جاذب اتیلن ,تعداد پاکت درب ,نوع طبقات شيشه ای ,محفظه نگهداری میوه و سبزیجات ,نوع بار خانگی             ,جهت باز شدن در یخچال ,انجماد سريع فريزر ,تعداد پاکت درب فریزر ,جهت باز شدن در فریزر ,مقاومت در برابر برفک ,کشو با تنظیم دما و رطوبت ,نوع آبسردکن ,اخطار باز بودن درب ,رنگ-بندی    ,هوم بار ,کلاس مصرف انرژی ,گنجایش خالص به فوت ,قابلیت IOT ,سیستم آبریز ,سیستم یخ ساز ,سیستم خنک کننده ,نوع روشنایی ,گنجایش ,تعدادطبقات یخچال ,تعداد کشوهای یخچال ,نوفراست (بدون برفک) ,لامپ ,توضیحات روشنایی ,جهت بازشدن درب یخچال ,تعداد کشوهای فریزر ,جهت بازشدن درب فریزر ,یخساز اتوماتیک(آب شهری) ,محفظه هوم بار ,صفحه دیجیتال لمسی ,فیلتر بوگیر ,سایر توضیحات                                                                                                                                                             ,قابلیت سرمایش سریع (Quick Cooling) ,روشنایی داخلی در یخچال ,طبقات یخچال     ,نوع طبقات ,قابلیت انجماد سریع (Super Freezing) ,طبقات فریزر                   ,روشنایی داخلی در فریزر ,ظرفیت فریزر (لیتر) ,ظرفیت یخچال (لیتر) ,ظرفیت کل (لیتر) ,یخ ساز                     ,اتصال به آب شهری ,نوع فیلتر                              ,کمپرسور ,هشدار باز بودن درب ,گرید انرژی ,سیستم گردش هوای چندگانه (Multi Air Flow) ,سیستم بدون برفک (نوفراست) ,نوع یخچال/فریزر
 9 ,DAEWOO-SBS-SXi15-11W        ,      ,یخچال فریزر ساید بای ساید                              ,A+         ,18 فوت              ,9 فوت               ,181.6 سانتی متر      ,72 سانتی متر      ,91.6 سانتی متر         ,100 کیلوگرم         ,4 عدد             ,5 عدد                 ,3 عدد                 ,2 عدد           ,بله       ,دارد                     ,دارد                     ,روشناییLED ,دارد                    ,دارد                    ,دارد                                                   ,دارد                    ,بیرونی (خارجی) ,اینورتر دیجیتال(DI)     ,LEDهمراه با دکمه های لمسی ,2 عدد             ,27 فوت           ,591 لیتر          ,3 عدد           ,به سمت راست           ,دارد           ,دارد            ,38 دسی بل             ,دارد                   ,دارد                             ,ایران ,نوفراست                  ,آنتی باکتریال با قابلیت تعویض ,دارد                         ,دارد                          ,دارد                   ,دارد                          ,ندارد                ,ندارد                        ,دارد      ,دارد               ,powerful deodorizer               ,ندارد                       ,دارد                              ,دارد                ,دارد                                 ,              ,          ,                            ,                  ,         ,                    ,                             ,          ,                          ,                         ,            ,                     ,             ,             ,          ,                ,             ,               ,                 ,              ,              ,                        ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,                       ,                       ,                        ,                                         ,               ,                            ,                         ,                ,                   ,              ,                                         ,            ,                ,          ,            ,               ,                ,                    ,          ,                               ,                  ,                ,               ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                 ,                  ,                 ,                                                  ,                   ,                ,                                      ,                           ,                ,         ,                                                                                                                                                                                                                                                                                                                                                                                                       ,            ,                 ,                                     ,     ,                     ,                                                     ,                                                             ,                                                     ,                    ,                     ,                          ,                                           ,                      ,           ,                    ,                                                                                                                                                                                                                                                                                                                                                                                           ,        ,               ,            ,                         ,           ,              ,            ,                                    ,                                 ,             ,         ,      ,                              ,                    ,         ,                         ,            ,            ,            ,                ,                                   ,               ,                ,                     ,                      ,                      ,                            ,                         ,                         ,                               ,                                  ,                  ,                    ,                           ,                                 ,                                   ,                          ,                   ,                        ,            ,         ,                 ,                 ,             ,                 ,          ,                         ,              ,                                     ,            ,            ,                ,         ,          ,             ,                        ,               ,             ,        ,           ,          ,                              ,                 ,                      ,                            ,                 ,            ,                            ,                     ,                              ,              ,                  ,          ,               ,              ,                       ,                 ,               ,                  ,                             ,                          ,                     ,                  ,                     ,                     ,                     ,                         ,            ,                   ,            ,        ,                ,                   ,           ,            ,             ,                ,            ,       ,                 ,                   ,                    ,     ,                ,                     ,                   ,                     ,                        ,              ,                  ,            ,                                                                                                                                                                         ,                                   ,                       ,                ,          ,                                    ,                              ,                       ,                   ,                   ,                ,                           ,                 ,                                       ,        ,                   ,           ,                                         ,                          ,
10 ,DAEWOO-SBS-SXi15-21W        ,      ,                                                       ,           ,                    ,                    ,                     ,                  ,                       ,                    ,5 عدد             ,5 عدد                 ,3 عدد                 ,2 عدد           ,بله       ,                         ,                         ,           ,                        ,                        ,                                                       ,                        ,               ,اینورتر دیجیتال         ,                          ,3 عدد             ,                 ,                  ,3 عدد           ,به سمت راست           ,               ,                ,                      ,                       ,                                 ,      ,                         ,                              ,                             ,                              ,                       ,                              ,                     ,                             ,          ,                   ,                                  ,                            ,                                  ,                    ,                                     ,ساید بای ساید ,دوو       ,سفید براق                   ,+A                ,دارد     ,دارد                ,دارد                         ,دارد      ,دارد                      ,یخساز اتوماتیک           ,دارد        ,دارد                 ,440 لیتر     ,190 لیتر     ,32 فوت    ,181.6 سانتی متر ,84 سانتی متر ,91.6 سانتی متر ,192 سانتی متر    ,99 سانتی متر  ,93 سانتی متر  ,به سمت چپ               ,دفترچه راهنما ,مجهز به Magic Cool Zone                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                       ,                       ,                        ,                                         ,               ,                            ,                         ,                ,                   ,              ,                                         ,            ,                ,          ,            ,               ,                ,                    ,          ,                               ,                  ,                ,               ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                 ,                  ,                 ,                                                  ,                   ,                ,                                      ,                           ,                ,         ,                                                                                                                                                                                                                                                                                                                                                                                                       ,            ,                 ,                                     ,     ,                     ,                                                     ,                                                             ,                                                     ,                    ,                     ,                          ,                                           ,                      ,           ,                    ,                                                                                                                                                                                                                                                                                                                                                                                           ,        ,               ,            ,                         ,           ,              ,            ,                                    ,                                 ,             ,         ,      ,                              ,                    ,         ,                         ,            ,            ,            ,                ,                                   ,               ,                ,                     ,                      ,                      ,                            ,                         ,                         ,                               ,                                  ,                  ,                    ,                           ,                                 ,                                   ,                          ,                   ,                        ,            ,         ,                 ,                 ,             ,                 ,          ,                         ,              ,                                     ,            ,            ,                ,         ,          ,             ,                        ,               ,             ,        ,           ,          ,                              ,                 ,                      ,                            ,                 ,            ,                            ,                     ,                              ,              ,                  ,          ,               ,              ,                       ,                 ,               ,                  ,                             ,                          ,                     ,                  ,                     ,                     ,                     ,                         ,            ,                   ,            ,        ,                ,                   ,           ,            ,             ,                ,            ,       ,                 ,                   ,                    ,     ,                ,                     ,                   ,                     ,                        ,              ,                  ,            ,                                                                                                                                                                         ,                                   ,                       ,                ,          ,                                    ,                              ,                       ,                   ,                   ,                ,                           ,                 ,                                       ,        ,                   ,           ,                                         ,                          ,
13 ,DAEWOO-SBS-SXI20-11W        ,      ,یخچال فریزر ساید بای ساید                              ,A+         ,18 فوت              ,10 فوت              ,181.6 سانتی متر      ,72 سانتی متر      ,91.6 سانتی متر         ,100 کیلوگرم         ,4 عدد             ,6 عدد                 ,3 عدد                 ,2 عدد           ,بله       ,دارد                     ,دارد                     ,روشناییLED ,دارد                    ,دارد                    ,دارد                                                   ,دارد                    ,مخفی           ,اینورتر دیجیتال(DI)     ,LEDهمراه با دکمه های لمسی ,2 عدد             ,28 فوت           ,520 لیتر          ,3 عدد           ,به سمت راست           ,دارد           ,دارد            ,"38 دسی بل, 42 دسیبل" ,دارد                   ,دارد                             ,ایران ,نوفراست                  ,آنتی باکتریال با قابلیت تعویض ,دارد                         ,دارد                          ,دارد                   ,دارد                          ,one evaporator       ,ندارد                        ,دارد      ,دارد               ,powerful deodorizer               ,ندارد                       ,دارد                              ,دارد                ,دارد                                 ,              ,          ,                            ,                  ,         ,                    ,                             ,          ,                          ,                         ,            ,                     ,             ,             ,          ,                ,             ,               ,                 ,              ,              ,                        ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,370 لیتر               ,150 لیتر               ,6 سنسور برای دمای داخلی ,دارد                                     ,دارد           ,دارد                        ,                         ,                ,                   ,              ,                                         ,            ,                ,          ,            ,               ,                ,                    ,          ,                               ,                  ,                ,               ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                 ,                  ,                 ,                                                  ,                   ,                ,                                      ,                           ,                ,         ,                                                                                                                                                                                                                                                                                                                                                                                                       ,            ,                 ,                                     ,     ,                     ,                                                     ,                                                             ,                                                     ,                    ,                     ,                          ,                                           ,                      ,           ,                    ,                                                                                                                                                                                                                                                                                                                                                                                           ,        ,               ,            ,                         ,           ,              ,            ,                                    ,                                 ,             ,         ,      ,                              ,                    ,         ,                         ,            ,            ,            ,                ,                                   ,               ,                ,                     ,                      ,                      ,                            ,                         ,                         ,                               ,                                  ,                  ,                    ,                           ,                                 ,                                   ,                          ,                   ,                        ,            ,         ,                 ,                 ,             ,                 ,          ,                         ,              ,                                     ,            ,            ,                ,         ,          ,             ,                        ,               ,             ,        ,           ,          ,                              ,                 ,                      ,                            ,                 ,            ,                            ,                     ,                              ,              ,                  ,          ,               ,              ,                       ,                 ,               ,                  ,                             ,                          ,                     ,                  ,                     ,                     ,                     ,                         ,            ,                   ,            ,        ,                ,                   ,           ,            ,             ,                ,            ,       ,                 ,                   ,                    ,     ,                ,                     ,                   ,                     ,                        ,              ,                  ,            ,                                                                                                                                                                         ,                                   ,                       ,                ,          ,                                    ,                              ,                       ,                   ,                   ,                ,                           ,                 ,                                       ,        ,                   ,           ,                                         ,                          ,
14 ,DAEWOO-SBS-SXI20-11S        ,      ,یخچال فریزر ساید بای ساید                              ,A+         ,18 فوت              ,10 فوت              ,181.6 سانتی متر      ,72 سانتی متر      ,91.6 سانتی متر         ,100 کیلوگرم         ,4 عدد             ,6 عدد                 ,3 عدد                 ,2 عدد           ,بله       ,دارد                     ,دارد                     ,روشناییLED ,دارد                    ,دارد                    ,دارد                                                   ,دارد                    ,مخفی           ,اینورتر دیجیتال(DI)     ,LEDهمراه با دکمه های لمسی ,2 عدد             ,28 فوت           ,520 لیتر          ,3 عدد           ,به سمت راست           ,دارد           ,دارد            ,"38 دسی بل, 42 دسیبل" ,دارد                   ,دارد                             ,ایران ,نوفراست                  ,آنتی باکتریال با قابلیت تعویض ,دارد                         ,دارد                          ,دارد                   ,دارد                          ,one evaporator       ,ندارد                        ,دارد      ,دارد               ,powerful deodorizer               ,ندارد                       ,دارد                              ,دارد                ,دارد                                 ,              ,          ,                            ,                  ,         ,                    ,                             ,          ,                          ,                         ,            ,                     ,             ,             ,          ,                ,             ,               ,                 ,              ,              ,                        ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,370 لیتر               ,150 لیتر               ,6 سنسور برای دمای داخلی ,دارد                                     ,دارد           ,دارد                        ,                         ,                ,                   ,              ,                                         ,            ,                ,          ,            ,               ,                ,                    ,          ,                               ,                  ,                ,               ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                 ,                  ,                 ,                                                  ,                   ,                ,                                      ,                           ,                ,         ,                                                                                                                                                                                                                                                                                                                                                                                                       ,            ,                 ,                                     ,     ,                     ,                                                     ,                                                             ,                                                     ,                    ,                     ,                          ,                                           ,                      ,           ,                    ,                                                                                                                                                                                                                                                                                                                                                                                           ,        ,               ,            ,                         ,           ,              ,            ,                                    ,                                 ,             ,         ,      ,                              ,                    ,         ,                         ,            ,            ,            ,                ,                                   ,               ,                ,                     ,                      ,                      ,                            ,                         ,                         ,                               ,                                  ,                  ,                    ,                           ,                                 ,                                   ,                          ,                   ,                        ,            ,         ,                 ,                 ,             ,                 ,          ,                         ,              ,                                     ,            ,            ,                ,         ,          ,             ,                        ,               ,             ,        ,           ,          ,                              ,                 ,                      ,                            ,                 ,            ,                            ,                     ,                              ,              ,                  ,          ,               ,              ,                       ,                 ,               ,                  ,                             ,                          ,                     ,                  ,                     ,                     ,                     ,                         ,            ,                   ,            ,        ,                ,                   ,           ,            ,             ,                ,            ,       ,                 ,                   ,                    ,     ,                ,                     ,                   ,                     ,                        ,              ,                  ,            ,                                                                                                                                                                         ,                                   ,                       ,                ,          ,                                    ,                              ,                       ,                   ,                   ,                ,                           ,                 ,                                       ,        ,                   ,           ,                                         ,                          ,
19 ,DAEWOO-SBS-SXI30-20W        ,      ,یخچال فریزر ساید بای ساید                              ,A+         ,                    ,                    ,181.6 سانتی متر      ,84 سانتی متر      ,91.6 سانتی متر         ,110 کیلوگرم         ,5 عدد             ,5 عدد                 ,3 عدد                 ,2 عدد           ,بله       ,دارد                     ,دارد                     ,روشناییLED ,دارد                    ,دارد                    ,همان درب سوم مجهز به سرمایش فلزی                       ,                        ,دستگیره مخفی   ,اینورتر دیجیتال(DI)     ,LEDهمراه با دکمه های لمسی ,3 عدد             ,32 فوت           ,                  ,3 عدد           ,به سمت راست           ,دارد           ,                ,38 دسی بل             ,دارد                   ,دارد                             ,ایران ,                         ,                              ,                             ,                              ,                       ,                              ,                     ,                             ,          ,                   ,                                  ,                            ,                                  ,                    ,                                     ,              ,          ,                            ,                  ,         ,                    ,                             ,          ,اتوماتیک(متصل به آب شهری) ,                         ,            ,                     ,             ,             ,          ,                ,             ,               ,                 ,              ,              ,به سمت چپ               ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,440 لیتر               ,190 لیتر               ,                        ,                                         ,               ,                            ,اتوماتیک متصل به آب شهری ,Prime 3DR IOT   ,630 لیتر           ,روشناییLED    ,ندارد                                    ,            ,                ,          ,            ,               ,                ,                    ,          ,                               ,                  ,                ,               ,                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                 ,                  ,                 ,                                                  ,                   ,                ,                                      ,                           ,                ,         ,                                                                                                                                                                                                                                                                                                                                                                                                       ,            ,                 ,                                     ,     ,                     ,                                                     ,                                                             ,                                                     ,                    ,                     ,                          ,                                           ,                      ,           ,                    ,                                                                                                                                                                                                                                                                                                                                                                                           ,        ,               ,            ,                         ,           ,              ,            ,                                    ,                                 ,             ,         ,      ,                              ,                    ,         ,                         ,            ,            ,            ,                ,                                   ,               ,                ,                     ,                      ,                      ,                            ,                         ,                         ,                               ,                                  ,                  ,                    ,                           ,                                 ,                                   ,                          ,                   ,                        ,            ,         ,                 ,                 ,             ,                 ,          ,                         ,              ,                                     ,            ,            ,                ,         ,          ,             ,                        ,               ,             ,        ,           ,          ,                              ,                 ,                      ,                            ,                 ,            ,                            ,                     ,                              ,              ,                  ,          ,               ,              ,                       ,                 ,               ,                  ,                             ,                          ,                     ,                  ,                     ,                     ,                     ,                         ,            ,                   ,            ,        ,                ,                   ,           ,            ,             ,                ,            ,       ,                 ,                   ,                    ,     ,                ,                     ,                   ,                     ,                        ,              ,                  ,            ,                                                                                                                                                                         ,                                   ,                       ,                ,          ,                                    ,                              ,                       ,                   ,                   ,                ,                           ,                 ,                                       ,        ,                   ,           ,                                         ,                          ,
